ICME Plasma/Field Start Y/M/D (UT) (b),Evidence of BiDirectional suprathermal Electron strahls (BDE),"""quality"" of the boundary times",Increase in solar wind speed at the upstream disturbance (shock/wave),solar wind speed km/s,Mean magnetic field strength in the ICME,magnetic cloud has been reported,minimum value of the geomagnetic,Mean 1 AU transit speed of the disturbance,forward fast shock happens,"""quality"" of the boundary times*",Evidence of BiDirectional suprathermal Electron strahls (BDE)*,Increase in solar wind speed at the upstream disturbance (shock/wave)*,magnetic cloud has been reported*,minimum value of the geomagnetic*,Mean 1 AU transit speed of the disturbance*
1996-05-27 15:00:00,N,2,0,370,9,2,-33,...,No,2.0,no Evidence,0,magnetic cloud has been reported,-33,0
1996-07-01 18:00:00,N,3,40,360,11,2,-20,...,No,3.0,no Evidence,40,magnetic cloud has been reported,-20,0
1996-08-07 12:00:00,N,2,10,350,7,2,-23,...,No,2.0,no Evidence,10,magnetic cloud has been reported,-23,0
1996-12-23 17:00:00,N,2,20,360,10,2,-18,435,No,2.0,no Evidence,20,magnetic cloud has been reported,-18,435
1997-01-10 04:00:00,Y,1,100 S,450,14,2,-78,507,Yes,1.0,some Evidence,100,magnetic cloud has been reported,-78,507
1997-02-10 02:00:00,Y,2,90  S,450,8,2,-68,683,Yes,2.0,some Evidence,90,magnetic cloud has been reported,-68,683
1997-04-11 06:00:00,Y,1,150,460,20,2,-82,552,No,1.0,some Evidence,150,magnetic cloud has been reported,-82,552
1997-04-21 10:00:00,Y,2,40,360,12,2,-107,...,No,2.0,some Evidence,40,magnetic cloud has been reported,-107,0
1997-05-15 09:00:00,N,1,150 S,450,21,2,-115,616,Yes,1.0,no Evidence,150,magnetic cloud has been reported,-115,616
1997-05-26 16:00:00,Y,2,70 S,340,10,2H,-74,381,Yes,2.0,some Evidence,70,"magnetic cloud has been reported&
event reported by Huttunen et al. Ann Geophys",-74,381
1997-06-08 18:00:00,Y,3,30,380,12,2,-84,...,No,3.0,some Evidence,30,magnetic cloud has been reported,-84,0
1997-06-19 07:00:00,Y,2,60,360,8,2,-36,...,No,2.0,some Evidence,60,magnetic cloud has been reported,-36,0
1997-07-15 08:00:00,Y,2,80,350,10,2,-45,...,No,2.0,some Evidence,80,magnetic cloud has been reported,-45,0
1997-08-03 13:00:00,Y,1,80,400,16,2,-48,410,No,1.0,some Evidence,80,magnetic cloud has been reported,-48,410
1997-08-17 06:00:00,N,2W,60,390,7,0,-28,...,No,2.5,no Evidence,60,magnetic cloud has not been reported,-28,0
1997-09-03 13:00:00,Y,3W,40 S,410,14,1,-98,405,Yes,3.5,some Evidence,40,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-98,405
1997-09-21 21:00:00,N,1,110,440,16,2,-36,450,No,1.0,no Evidence,110,magnetic cloud has been reported,-36,450
1997-10-01 16:00:00,Y,1,60 S,450,10,2,-98,580,Yes,1.0,some Evidence,60,magnetic cloud has been reported,-98,580
1997-10-10 11:00:00,Y,2,30,430,8,1,-64,...,No,2.0,some Evidence,30,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-64,0
1997-10-10 22:00:00,Y,1,40 S,400,12,2,-130,430,Yes,1.0,some Evidence,40,magnetic cloud has been reported,-130,430
1997-10-27 00:00:00,Y,2,40,500,7,1,-60,572,No,2.0,some Evidence,40,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-60,572
1997-11-07 04:00:00,Y,2,140 S,400,11,2,-110,640,Yes,2.0,some Evidence,140,magnetic cloud has been reported,-110,640
1997-11-22 19:00:00,Y,1,170 S,510,17,2,-108,640,Yes,1.0,some Evidence,170,magnetic cloud has been reported,-108,640
1997-11-24 00:00:00,Y,2,100,530,5,0,-47,...,No,2.0,some Evidence,100,magnetic cloud has not been reported,-47,0
1997-12-10 18:00:00,...,2,50 S,350,12,0,-60,460,Yes,2.0,nan,50,magnetic cloud has not been reported,-60,460
1997-12-30 10:00:00,Y,3,50 S,370,12,1,-77,430,Yes,3.0,some Evidence,50,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-77,430
1998-01-07 01:00:00,Y,2,80 S,400,16,2,-77,480,Yes,2.0,some Evidence,80,magnetic cloud has been reported,-77,480
1998-01-09 07:00:00,N,2,0,450,6,1,-28,...,No,2.0,no Evidence,0,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-28,0
1998-01-20 17:00:00,Y,3W,50,430,5,1,-29,...,No,3.5,some Evidence,50,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-29,0
1998-01-21 06:00:00,N,3W,0,380,13,0,-11,430,No,3.5,no Evidence,0,magnetic cloud has not been reported,-11,430
1998-01-29 20:00:00,Y,2,30 S,380,7,0,-55,557,Yes,2.0,some Evidence,30,magnetic cloud has not been reported,-55,557
1998-02-04 04:00:00,Y,1,50,320,11,2,-34,...,No,1.0,some Evidence,50,magnetic cloud has been reported,-34,0
1998-02-17 10:00:00,Y,2W,30,400,12,2H,-100,602,No,2.5,some Evidence,30,"magnetic cloud has been reported&
event reported by Huttunen et al. Ann Geophys",-100,602
1998-02-19 01:00:00,N,2,20 S,440,9,1,-51,...,Yes,2.0,no Evidence,20,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-51,0
1998-03-04 13:00:00,N,1,30 S,350,12,2,-36,440,Yes,1.0,no Evidence,30,magnetic cloud has been reported,-36,440
1998-03-25 13:00:00,Y,1,20,400,10,1,-56,...,No,1.0,some Evidence,20,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-56,0
1998-03-31 11:00:00,N,1,30,360,7,0,-35,...,No,1.0,no Evidence,30,magnetic cloud has not been reported,-35,0
1998-04-11 23:00:00,N,3W,20,390,8,0,-46,...,No,3.5,no Evidence,20,magnetic cloud has not been reported,-46,0
1998-05-02 05:00:00,Y,1,150 S,520,11,2,-85,780,Yes,1.0,some Evidence,150,magnetic cloud has been reported,-85,780
1998-05-04 10:00:00,Y,2,250 Wv,550,10,0,-205,1150,No,2.0,some Evidence,250,magnetic cloud has not been reported,-205,1150
1998-06-02 10:00:00,N,2,10,390,9,2,-1,...,No,2.0,no Evidence,10,magnetic cloud has been reported,-1,0
1998-06-14 04:00:00,Y,3,80 S,340,10,1,-55,...,Yes,3.0,some Evidence,80,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-55,0
1998-06-24 16:00:00,Y,2,80,450,12,2,-25,...,No,2.0,some Evidence,80,magnetic cloud has been reported,-25,0
1998-06-26 04:00:00,Y,2,30 S,470,11,0,-101,...,Yes,2.0,some Evidence,30,magnetic cloud has not been reported,-101,0
1998-07-06 06:00:00,N,1,50 S,450,5,0,-30,dg,Yes,1.0,no Evidence,50,magnetic cloud has not been reported,-30,0
1998-07-11 00:00:00,Y,3W,20,400,10,0,-35,dg,No,3.5,some Evidence,20,magnetic cloud has not been reported,-35,0
1998-08-01 04:00:00,N,3,30,410,7,1,-6,dg,No,3.0,no Evidence,30,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-6,0
1998-08-05 13:00:00,Y,2W,0,360,8,1,-138,dg,No,2.5,some Evidence,0,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-138,0
1998-08-07 23:00:00,N,2,0,450,7,0,-62,dg,No,2.0,no Evidence,0,magnetic cloud has not been reported,-62,0
1998-08-10 11:00:00,Y,3W,100 S,450,7,0,-27,dg,Yes,3.5,some Evidence,100,magnetic cloud has not been reported,-27,0
1998-08-12 01:00:00,Y,3W,20,370,8,1,-19,dg,No,3.5,some Evidence,20,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-19,0
1998-08-20 06:00:00,Y,1,50 S,320,13,2,-67,dg,Yes,1.0,some Evidence,50,magnetic cloud has been reported,-67,0
1998-08-26 22:00:00,Y,2,200 S,650,14,0,-155,1260,Yes,2.0,some Evidence,200,magnetic cloud has not been reported,-155,1260
1998-09-23 04:00:00,Y,2,80,420,7,1,-33,dg,No,2.0,some Evidence,80,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-33,0
1998-09-25 06:00:00,Y,1,300 S,640,13,2,-207,1020,Yes,1.0,some Evidence,300,magnetic cloud has been reported,-207,1020
1998-10-19 04:00:00,Y,1,50 S,390,18,2,-112,510,Yes,1.0,some Evidence,50,magnetic cloud has been reported,-112,510
1998-10-23 15:00:00,N,3,50 S,520,7,0,-52,...,Yes,3.0,no Evidence,50,magnetic cloud has not been reported,-52,0
1998-11-07 22:00:00,Y,2,130 S,450,15,1,-81,570,Yes,2.0,some Evidence,130,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-81,570
1998-11-09 01:00:00,Y,2,200 S,450,12,2,-149,740,Yes,2.0,some Evidence,200,magnetic cloud has been reported,-149,740
1998-11-13 02:00:00,Y,3,50,390,17,2H,-131,520,No,3.0,some Evidence,50,"magnetic cloud has been reported&
event reported by Huttunen et al. Ann Geophys",-131,520
1998-11-30 21:00:00,Y,2,100 S,470,9,0,-15,...,Yes,2.0,some Evidence,100,magnetic cloud has not been reported,-15,0
1998-12-29 18:00:00,N,2,30 S,400,8,0,-58,dg,Yes,2.0,no Evidence,30,magnetic cloud has not been reported,-58,0
1999-01-04 04:00:00,Y,3W,20,350,8,0,-29,dg,No,3.5,some Evidence,20,magnetic cloud has not been reported,-29,0
1999-01-13 15:00:00,N,2,70 S,420,18,0,-112,dg,Yes,2.0,no Evidence,70,magnetic cloud has not been reported,-112,0
1999-01-23 09:00:00,Y,3,120 S,570,12,0,-52,dg,Yes,3.0,some Evidence,120,magnetic cloud has not been reported,-52,0
1999-02-13 19:00:00,N,3W,20,440,9,0,-17,...,No,3.5,no Evidence,20,magnetic cloud has not been reported,-17,0
1999-02-16 15:00:00,N,3,0,460,6,1,-7,...,No,3.0,no Evidence,0,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-7,0
1999-02-17 16:00:00,Y,3,30 S,410,8,0,-34,...,Yes,3.0,some Evidence,30,magnetic cloud has not been reported,-34,0
1999-02-18 10:00:00,Y,2,250 S,540,9,2,-123,870,Yes,2.0,some Evidence,250,magnetic cloud has been reported,-123,870
1999-03-10 17:00:00,Y,2,30 S,410,7,0,-81,...,Yes,2.0,some Evidence,30,magnetic cloud has not been reported,-81,0
1999-03-19 11:00:00,Y,3W,10,340,5,1,-30,...,No,3.5,some Evidence,10,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-30,0
1999-04-16 18:00:00,Y,1,50 S,410,18,2,-91,520,Yes,1.0,some Evidence,50,magnetic cloud has been reported,-91,520
1999-04-21 04:00:00,Y,1,120,490,8,2H,-29,...,No,1.0,some Evidence,120,"magnetic cloud has been reported&
event reported by Huttunen et al. Ann Geophys",-29,0
1999-05-15 16:00:00,N,3,0,390,5,0,-13,...,No,3.0,no Evidence,0,magnetic cloud has not been reported,-13,0
1999-06-02 23:00:00,Y,3,40,430,9,1,-6,...,No,3.0,some Evidence,40,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-6,0
1999-06-27 22:00:00,Y,3,100 S,670,7,0,-41,760,Yes,3.0,some Evidence,100,magnetic cloud has not been reported,-41,760
1999-07-03 05:00:00,...,2,100 S,440,4,0,-26,...,Yes,2.0,nan,100,magnetic cloud has not been reported,-26,0
1999-07-06 21:00:00,N,2,50 S,460,10,1,-4,620,Yes,2.0,no Evidence,50,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-4,620
1999-07-07 07:00:00,Y,3,70,450,4,0,-1,...,No,3.0,some Evidence,70,magnetic cloud has not been reported,-1,0
1999-07-27 17:00:00,Y,3,30 S,390,6,0,-38,560,Yes,3.0,some Evidence,30,magnetic cloud has not been reported,-38,560
1999-07-30 20:00:00,Y,3,90,620,9,0,-52,710,No,3.0,some Evidence,90,magnetic cloud has not been reported,-52,710
1999-07-31 19:00:00,N,3,100,480,5,1,-39,510,No,3.0,no Evidence,100,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-39,510
1999-08-02 15:00:00,N,3,20,370,4,0,-16,...,No,3.0,no Evidence,20,magnetic cloud has not been reported,-16,0
1999-08-08 20:00:00,Y,2,20 S,360,9,2,-47,...,Yes,2.0,some Evidence,20,magnetic cloud has been reported,-47,0
1999-08-12 03:00:00,Y,3,40,380,6,0,-13,615,No,3.0,some Evidence,40,magnetic cloud has not been reported,-13,615
1999-08-20 23:00:00,Y,2,0,460,7,1,-66,510,No,2.0,some Evidence,0,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-66,510
1999-09-21 12:00:00,Y,3,0,360,9,2,-41,...,No,3.0,some Evidence,0,magnetic cloud has been reported,-41,0
1999-09-22 19:00:00,Y,1,120 S,530,11,0,-173,770,Yes,1.0,some Evidence,120,magnetic cloud has not been reported,-173,770
1999-10-21 08:00:00,Y,2,30 S,480,20,0,-237,561,Yes,2.0,some Evidence,30,magnetic cloud has not been reported,-237,561
1999-11-12 10:00:00,N,2,50,450,5,0,-69,dg,No,2.0,no Evidence,50,magnetic cloud has not been reported,-69,0
1999-11-13 20:00:00,N,3W,50 S,440,7,2H,-106,dg,Yes,3.5,no Evidence,50,"magnetic cloud has been reported&
event reported by Huttunen et al. Ann Geophys",-106,0
1999-11-22 00:00:00,Y,3,40,450,9,0,-41,dg,No,3.0,some Evidence,40,magnetic cloud has not been reported,-41,0
1999-12-12 19:00:00,Y,2,300 S,520,12,0,-85,dg,Yes,2.0,some Evidence,300,magnetic cloud has not been reported,-85,0
1999-12-14 04:00:00,Y,2,20,440,12,0,-33,dg,No,2.0,some Evidence,20,magnetic cloud has not been reported,-33,0
1999-12-27 11:00:00,Y,3,50 S,430,8,1,-8,...,Yes,3.0,some Evidence,50,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-8,0
2000-01-22 17:00:00,Y,2,30 S,380,16,1,-97,530,Yes,2.0,some Evidence,30,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-97,530
2000-02-11 16:00:00,Y,1,60 S,420,7,0,-25,630,Yes,1.0,some Evidence,60,magnetic cloud has not been reported,-25,630
2000-02-12 12:00:00,Y,2,180 S,540,13,2,-133,915,Yes,2.0,some Evidence,180,magnetic cloud has been reported,-133,915
2000-02-14 12:00:00,N,3,100 S,520,5,0,-67,815,Yes,3.0,no Evidence,100,magnetic cloud has not been reported,-67,815
2000-02-21 05:00:00,Y,2,120 S,380,15,2,-26,560,Yes,2.0,some Evidence,120,magnetic cloud has been reported,-26,560
2000-03-01 03:00:00,Y,1,20,480,8,0,-43,...,No,1.0,some Evidence,20,magnetic cloud has not been reported,-43,0
2000-03-19 02:00:00,Y,2,20,380,9,0,-3,...,No,2.0,some Evidence,20,magnetic cloud has not been reported,-3,0
2000-03-29 19:00:00,N,2,280,420,7,0,-60,...,No,2.0,no Evidence,280,magnetic cloud has not been reported,-60,0
2000-04-07 06:00:00,Y,2,220 S,560,6,1,-288,860,Yes,2.0,some Evidence,220,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-288,860
2000-04-18 20:00:00,N,3,30,460,10,1,-14,510,No,3.0,no Evidence,30,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-14,510
2000-04-24 04:00:00,N,3W,60,500,13,0,-61,...,No,3.5,no Evidence,60,magnetic cloud has not been reported,-61,0
2000-05-02 20:00:00,Y,3,150 S,500,6,0,-37,530,Yes,3.0,some Evidence,150,magnetic cloud has not been reported,-37,530
2000-05-07 00:00:00,Y,3W,10,400,8,0,-10,...,No,3.5,some Evidence,10,magnetic cloud has not been reported,-10,0
2000-05-13 17:00:00,N,2,100,500,8,0,-2,603,No,2.0,no Evidence,100,magnetic cloud has not been reported,-2,603
2000-05-15 19:00:00,N,3,20,430,8,0,-32,...,No,3.0,no Evidence,20,magnetic cloud has not been reported,-32,0
2000-05-16 23:00:00,N,2,130,550,9,1,-92,500,No,2.0,no Evidence,130,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-92,500
2000-05-23 09:00:00,Y,2,70,570,8,0,-10,830,No,2.0,some Evidence,70,magnetic cloud has not been reported,-10,830
2000-05-24 12:00:00,Y,2,50 S,530,5,1,-147,650,Yes,2.0,some Evidence,50,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-147,650
2000-06-04 22:00:00,Y,3,130 S,470,9,0,-35,403,Yes,3.0,some Evidence,130,magnetic cloud has not been reported,-35,403
2000-06-08 12:00:00,Y,2,260 S,610,11,0,-90,1007,Yes,2.0,some Evidence,260,magnetic cloud has not been reported,-90,1007
2000-06-11 09:00:00,Y,2,40 S,510,11,1,-36,...,Yes,2.0,some Evidence,40,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-36,0
2000-06-13 12:00:00,N,2,60,440,4,0,-37,...,No,2.0,no Evidence,60,magnetic cloud has not been reported,-37,0
2000-06-18 09:00:00,N,3W,10,380,5,1,-12,...,No,3.5,no Evidence,10,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-12,0
2000-06-24 00:00:00,Y,1,120 S,500,10,2,-34,...,Yes,1.0,some Evidence,120,magnetic cloud has been reported,-34,0
2000-06-26 10:00:00,Y,2,60,520,10,0,-76,...,No,2.0,some Evidence,60,magnetic cloud has not been reported,-76,0
2000-07-01 09:00:00,N,2,20,390,7,2,-11,...,No,2.0,no Evidence,20,magnetic cloud has been reported,-11,0
2000-07-11 02:00:00,Y,2,90 S,440,13,0,0,609,Yes,2.0,some Evidence,90,magnetic cloud has not been reported,0,609
2000-07-11 22:00:00,Y,1,30 S,520,10,2H,-26,...,Yes,1.0,some Evidence,30,"magnetic cloud has been reported&
event reported by Huttunen et al. Ann Geophys",-26,0
2000-07-13 13:00:00,Y,3,200 S,610,7,2H,-43,940,Yes,3.0,some Evidence,200,"magnetic cloud has been reported&
event reported by Huttunen et al. Ann Geophys",-43,940
2000-07-14 17:00:00,Y,2,150 S,780,9,2,-57,...,Yes,2.0,some Evidence,150,magnetic cloud has been reported,-57,0
2000-07-15 19:00:00,Y,2,350 S,740,20,2,-301,1500,Yes,2.0,some Evidence,350,magnetic cloud has been reported,-301,1500
2000-07-20 01:00:00,Y,2,100 S,530,8,0,-93,...,Yes,2.0,some Evidence,100,magnetic cloud has not been reported,-93,0
2000-07-23 15:00:00,N,3,20,360,9,0,-68,dg,No,3.0,no Evidence,20,magnetic cloud has not been reported,-68,0
2000-07-27 02:00:00,Y,2,50 S,360,6,1,-42,490,Yes,2.0,some Evidence,50,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-42,490
2000-07-28 12:00:00,Y,2,70 S,440,9,2,-71,550,Yes,2.0,some Evidence,70,magnetic cloud has been reported,-71,550
2000-08-10 19:00:00,Y,1,50 S,430,12,2H,-106,530,Yes,1.0,some Evidence,50,"magnetic cloud has been reported&
event reported by Huttunen et al. Ann Geophys",-106,530
2000-08-12 05:00:00,Y,1,120 S,580,18,2,-235,830,Yes,1.0,some Evidence,120,magnetic cloud has been reported,-235,830
2000-09-02 22:00:00,N,1,40,420,8,0,-20,418,No,1.0,no Evidence,40,magnetic cloud has not been reported,-20,418
2000-09-08 12:00:00,Y,3,50,450,5,0,-48,530,No,3.0,some Evidence,50,magnetic cloud has not been reported,-48,530
2000-09-17 21:00:00,Y,2,250 S,600,10,2,-201,...,Yes,2.0,some Evidence,250,magnetic cloud has been reported,-201,0
2000-10-03 10:00:00,Y,1,60 S,400,14,2,-143,...,Yes,1.0,some Evidence,60,magnetic cloud has been reported,-143,0
2000-10-05 13:00:00,Y,2,110 S,450,6,1,-182,756,Yes,2.0,some Evidence,110,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-182,756
2000-10-13 16:00:00,Y,1,120 S,400,12,2,-107,590,Yes,1.0,some Evidence,120,magnetic cloud has been reported,-107,590
2000-10-28 21:00:00,Y,1,50 S,380,14,2,-127,565,Yes,1.0,some Evidence,50,magnetic cloud has been reported,-127,565
2000-11-06 17:00:00,Y,2,110 S,510,20,2,-159,660,Yes,2.0,some Evidence,110,magnetic cloud has been reported,-159,660
2000-11-08 13:00:00,Y,2,50,440,7,1,-36,...,No,2.0,some Evidence,50,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-36,0
2000-11-11 08:00:00,N,2,110 S,790,7,0,-37,1200,Yes,2.0,no Evidence,110,magnetic cloud has not been reported,-37,1200
2000-11-27 08:00:00,Y,2,150 S,560,10,0,-80,...,Yes,2.0,some Evidence,150,magnetic cloud has not been reported,-80,0
2000-11-28 11:00:00,Y,2,50 S,540,9,1,-119,720,Yes,2.0,some Evidence,50,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-119,720
2000-12-22 03:00:00,Y,3W,40,290,4,0,-1,...,No,3.5,some Evidence,40,magnetic cloud has not been reported,-1,0
2000-12-23 00:00:00,Y,3,50,320,12,0,-62,380,No,3.0,some Evidence,50,magnetic cloud has not been reported,-62,380
2001-01-24 09:00:00,Y,2,140 S,400,4,1,-61,680,Yes,2.0,some Evidence,140,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-61,680
2001-03-04 04:00:00,N,2,50 S,440,8,2H,-73,610,Yes,2.0,no Evidence,50,"magnetic cloud has been reported&
event reported by Huttunen et al. Ann Geophys",-73,610
2001-03-19 17:00:00,Y,1,100 S,360,15,2,-149,520,Yes,1.0,some Evidence,100,magnetic cloud has been reported,-149,520
2001-03-27 20:00:00,Y,2,80 S,610,12,2H,-87,...,Yes,2.0,some Evidence,80,"magnetic cloud has been reported&
event reported by Huttunen et al. Ann Geophys",-87,0
2001-03-28 17:00:00,Y,3,200 S,480,3,0,-51,850,Yes,3.0,some Evidence,200,magnetic cloud has not been reported,-51,850
2001-03-31 05:00:00,Y,3,200 S,640,33,1,-387,690,Yes,3.0,some Evidence,200,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-387,690
2001-04-01 04:00:00,Y,2,200,600,5,1,...,700,No,2.0,some Evidence,200,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",0,700
2001-04-04 18:00:00,Y,2,90 S,650,9,2,-50,1020,Yes,2.0,some Evidence,90,magnetic cloud has been reported,-50,1020
2001-04-08 14:00:00,Y,3,100 S,740,13,0,-59,1050,Yes,3.0,some Evidence,100,magnetic cloud has not been reported,-59,1050
2001-04-11 22:00:00,Y,2,230 S,640,14,2,-271,1290,Yes,2.0,some Evidence,230,magnetic cloud has been reported,-271,1290
2001-04-13 09:00:00,Y,1,200 S,730,9,0,-77,990,Yes,1.0,some Evidence,200,magnetic cloud has not been reported,-77,990
2001-04-15 17:00:00,SEP,2W,0,500,4,0,-36,...,No,2.5,intense solar energetic particle event was in progress at the time of ICME passage and electron flows therefore cannot be determined,0,magnetic cloud has not been reported,-36,0
2001-04-18 12:00:00,Y,2,140 S,430,8,0,-114,...,Yes,2.0,some Evidence,140,magnetic cloud has not been reported,-114,0
2001-04-21 23:00:00,N,1,50 S,350,11,2,-102,...,Yes,1.0,no Evidence,50,magnetic cloud has been reported,-102,0
2001-04-28 14:00:00,N,2,400 S,550,8,2,-47,1040,Yes,2.0,no Evidence,400,magnetic cloud has been reported,-47,1040
2001-05-03 11:00:00,Y,2W,0,380,8,0,-2,...,No,2.5,some Evidence,0,magnetic cloud has not been reported,-2,0
2001-05-07 19:00:00,Y,2,30,360,8,1,-25,...,No,2.0,some Evidence,30,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-25,0
2001-05-09 12:00:00,N,2,50 S,430,8,1,-76,...,Yes,2.0,no Evidence,50,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-76,0
2001-05-11 13:00:00,N,2W,0,430,8,0,-48,...,No,2.5,no Evidence,0,magnetic cloud has not been reported,-48,0
2001-05-28 03:00:00,N,2,100 S,420,7,2,-42,...,Yes,2.0,no Evidence,100,magnetic cloud has been reported,-42,0
2001-06-07 18:00:00,N,1,50 S,390,9,1,-8,...,Yes,1.0,no Evidence,50,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-8,0
2001-06-27 03:00:00,N,1,20,420,3,1,-18,...,No,1.0,no Evidence,20,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-18,0
2001-07-09 02:00:00,Y,2,30,400,5,2,-38,520,No,2.0,some Evidence,30,magnetic cloud has been reported,-38,520
2001-07-13 17:00:00,N,2,20,400,8,1,-4,...,No,2.0,no Evidence,20,"evidence of a rotation in field direction, but lacks some other characteristics of a magnetic cloud",-4,0
2001-08-03 11:00:00,Y,3,60 S,420,10,0,-13,...,Yes,3.0,some Evidence,60,magnetic cloud has not been reported,-13,0
2001-08-15 05:00:00,N,3W,0,390,5,0,-16,...,No,3.5,no Evidence,0,magnetic cloud has not been reported,-16,0
